copies_mL,Temperature,Salinity,DO_mgL,pH,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP,cfu_tot,cfu_gre,cfu_yel,hf_copies_mL,Vv,Vp,Va,Vc,tot_bacteria,tss,VAI,dust,dust_lag
6365.57902015401,28.9,29.86,7.52,8.49,23.885,665.2,58.2,1106.6,162.3,0.524,0.204,0.0965,2.926,90.3135,0.728,57.472,0.248863555650259,620,180,440,0,21.0513278520932,3.36,3.54166666666667,285,37110696.580007,196.8,6.67059144779235e-5,0.1,0.14
8396.58643046235,28.9,31.81,7.44,8.83,20.015,1062.45,61,1314.05,179.75,0.4755,0.178,0.1395,2.896,69.09,0.6535,60.3465,0.225978431189176,213.333333333333,56.6666666666667,156.666666666667,0,17.9927093968481,3.36,3.54166666666667,1313.91785825554,14225557.9856024,188.000000000001,2.29540322475e-4,0.1,0.1
7273.2062792551,28.8,32.16,6.89,9.76,24.1,830.1,55.25,1439.35,180.7,0.4135,0.171,0.1515,3.4225,86.44,0.5845,54.6655,0.170732748500566,160,36.6666666666667,123.333333333333,0,4.55,3.36,3.54166666666667,784.393614993239,10967695.7730726,226.333333333333,2.5789091593364e-4,0.13,0.1
11468.6951479198,29.6,41.11,5.32,8.45,21.265,796,55.1,1113.2,127.55,0.616,0.17,0.1655,2.1605,107.573,0.786,54.314,0.363854525680597,46.6666666666667,10,36.6666666666667,0,4.55,3.36,3.54166666666667,285,4691542.43999193,195.6,9.5065709628059e-4,0.09,0.09
4740.09904041086,29.5,36.01,6.17,7.96,39.775,778.2,63.75,1280.05,164.7,0.844,1.092,0.362,2.987,96.7505,1.936,61.814,0.648098902428047,130,40,90,0,18.8490488776967,6.72,7.08333333333333,570,5993470.16527253,346.363636363637,3.0756336449784e-4,0.06,0.09
7561.15233038067,30,34.62,5.6,8.92,28.11,715.1,68.55,1372.25,178.6,0.559,0.167,0.0605,1.0285,75.7925,0.726,67.824,0.704660914366125,93.3333333333333,6.66666666666667,86.6666666666667,24710.1907526103,9.1,6.72,7.08333333333333,570,10494923.9462259,161.5,2.8017812644929e-4,0.2,0.06
21454.0456972746,29.2,30.65,5.18,8.52,37.875,702.5,56.75,1348.85,170.3,1.0565,0.1265,0.0685,1.6585,66.6135,1.183,55.567,0.712928350609202,360,33.3333333333333,326.666666666667,0,42.6976572987997,6.72,7.08333333333333,1329.10180712814,9688553.20274453,219.5,8.6114405513313e-4,0.17,0.2
8646.41466549436,28.1,24.99,7.65,8.96,59.56,699,66.65,1493.1,211.3,0.692,6.6755,0.17,0.5675,72.849,7.3675,59.2825,12.9842730090117,460,73.3333333333333,386.666666666667,0,35.5373085637568,6.72,7.08333333333333,1706.17208361036,5454957.66157831,291.500000000001,6.164107589359e-4,0.17,0.17
8111.82480352096,27.9,23.95,9.44,8.87,27.64,693.25,99.3,1460.6,265.65,1.733875,0.1955,0.07325,0.087625,143.714125,1.929375,97.370625,22.3367815239602,776.666666666667,116.666666666667,660,120319.175523075,206.382029047746,11.2,11.8055555555556,5108.06563514591,63591901.7326053,256.000000000001,4.96069224029063e-5,0.57,0.17
17266.1273127805,28.1,21.9,9.22,8.3,39.475,696.7,116.3,1601.05,313.4,1.1025,52.202,0.317,6.751,105.3205,53.3045,62.9955,7.89828698551361,486.666666666667,90,396.666666666667,26014.936036902,151.527415824144,11.2,11.8055555555556,7554.67748456529,19269054.5266269,399.999999999999,3.484657255395e-4,0.55,0.57
12553.5210897053,29,23.87,9.07,9.18,96.395,1198.95,98.3,2076.6,312.85,0.692,0.168,0.065,3.466,70.9175,0.86,97.44,0.248034251903476,340,90,250,7466523.02727805,146.048796293146,11.2,11.8055555555556,1692.6028882046,25928651.035622202,242.5,1.8828302565805e-4,0.55,0.55
17833.5621055813,28.1,20.06,8.15,8.97,84.26,562.3,77.65,1562.9,262.5,0.52,33.3635,0.169,9.2395,92.573,33.8835,43.7665,3.66725424902795,116.666666666667,30,86.6666666666667,1378068.60358746,113.493347871667,11.2,11.8055555555556,950,31089619.4273926,196.499999999999,2.230736264999e-4,0.17,0.55
